type	sen
【爱情语句】	 ?如果我是蜡烛，希望你是火，我愿为你而燃烧，照亮你未来的路;如果我是鱼儿，希望你是海，即使你感觉不到我的泪，但至少我在你心中。
【爱情语句】	 ?玫瑰很美，比不上你的笑脸;美酒很香，比不上你的芳香;大海很深，比不上对你情深;天空很广，比不上对你爱广。在我心中，你永远是我的最爱。
【爱情语句】	 ?当风不再追云，当冰不再化水，当火不再炽热，当石不再坚硬，当世上没有爱情，我才能停止爱你!
【爱情语句】	 ?都说婚姻是爱情的坟墓，可是自从见到你，我愿意将这块墓地开垦成花园。
【爱情语句】	 ?在你抑郁的时候，我就是你的开心果。在你忧伤的时候，我愿做你的忘忧树
【爱情语句】	 ?牵你的手，朝朝暮暮，牵你的手，等待明天，牵你的手，走过今生，牵你的手，生生世世。
【爱情语句】	 ?感恩我们走过的每一天。愿我们不忘初心继续前行。
【爱情语句】	 ?刚好是今天，我养了旁边这只小懒猪整整一年，竟然觉得还不错。
【爱情语句】	 ?一辈子和你在一起，才叫将来，换了别人，那叫将就。
【爱情语句】	 ?遇到你之前，我没有想过结婚;遇到你之后，我结婚没有想过别的人。
【爱情语句】	 ?你的一生我只借一程。这一程便是余生。
【爱情语句】	 ?承蒙时间不弃。你一直爱我一直在。
【爱情语句】	 希望你出现的时候，会揉揉我的头抱着我，在我耳畔说：对不起我到现在才来让你等太久了。
【爱情语句】	 我不想我的爱人，路上不想，工作时不想，吃饭时不想，但到了晚上，虽然也没想，但身子贴得很紧。
【爱情语句】	 爱情还需要讨论，这似乎有点矫情，她说上半身，他说下半身，争来争去，一个井水，一个河水;这水若是融合了，不分井水与河水。
【爱情语句】	 钟于，忠于，衷于，终于……钟情与你，忠诚与你衷心与你，终生与你!
【爱情语句】	 ?图什么不好，偏要图一个人对你好。
【爱情语句】	 ?别总是来日方长，这世上回首之间的都是人走茶凉，他的嘴终会吻上别人的唇，把给过你的没给过你的全给另外一个人。
【爱情语句】	 ?我所厌恶的不是爱情，而是那等待，猜测，道歉和伤害，以及那无法兑现的承诺。
【爱情语句】	 ?活得很累，但是不敢死，夜晚的时间太长了，足够应付难过的情绪，天一亮就又是假装快乐的一天。
【爱情语句】	 ?一直都知道，你爱的不是我，而我却犯贱的，舍不得离开。
【爱情语句】	 ?你隔岸观火，为何不救我。
【爱情语句】	 ?慢慢大家会明白的，无法跟喜欢的人在一起，其实是人生的常态。
【爱情语句】	 ?不要跟我说对不起，对不起是要拖欠一辈子的，我们很早之前就没有以后了。
【爱情语句】	 ?你所喜欢的歌我循环了千遍，烂熟于心，后来你说这些歌都是他喜欢的。
【爱情语句】	 ?星星跟你很配，大概因为，都遥不可及吧。
【爱情语句】	 ?难过的是当你遇上一个特别的人却明白永远不可能在一起，放弃一个喜欢的人其他都变成了将就。
【爱情语句】	 ?我陪你走过的路你不能忘。
【爱情语句】	 ?慢慢发现，长大真的很没意思，连快乐都裹着一层苦。
【爱情语句】	 ?多余也好，不重要也罢，我不稀罕了，都离开我吧。
【爱情语句】	 ?我不想去讨好你了，换句话说，我不想浪费时间去感动自己了。
【爱情语句】	 ?让我最觉得失败的是，我把我所有的热情都给你了，但是最后，你还是喜欢上别人了。
【爱情语句】	 ?海底明月捞不起，凡间星辰不可及。
【爱情语句】	 ?我这份悬在半空的喜欢，可能飞不过万水千山了。
【爱情语句】	 ?错了就错了，我不遗憾也不期待圆满。
【爱情语句】	 ?你留给我的回忆，就像彩虹。我张开双手，却只拥住了风。
【爱情语句】	 ?有时候想起你，就觉得以前这个人和我那么好，光晚安都要花半个小时的人，现在不是我的了，真的好难受。
【爱情语句】	 ?你是不是也是这样，有时像患了忧郁症一样，会突然心情不好，偶尔像患了自闭症似的，会突然不想说话。
【爱情语句】	 我与公子啊，就像是隔着十里青山，千处深谷，万家灯火一般，无果，无果。
【爱情语句】	 ?多数时候，单曲循环，不是因为旋律好听， 而是歌词懂你。 单曲循环是一种病， 叫情难自禁。
【爱情语句】	 ?对相爱的人来说，对方的心才是最好的房子。
【爱情语句】	 ?有的人脸上有太多太多的微笑，是因为心中有太多太多的泪水。
【爱情语句】	 ?再好的东西都有失去的一天。 再深的记忆也有淡忘的一天。再爱的人，也有远走的一天。再美的梦，也有苏醒的一天。
【爱情语句】	 ?我们总是在错误的时间，错误的地点，懵懵然就爱上那个人，然后，不得不用尽一生，遗忘。
【爱情语句】	 ?你只是痛到了心头上才忍不住落泪，可是别人不懂却讥笑你爱哭。
【爱情语句】	 ?记住的，是不是永远不会忘记。我守护如泡沫般灿烂的童话，快乐才刚刚开始悲伤却早已潜伏而来。
【爱情语句】	 ?你不知道什么时候，会遇到一个无比契合的人，然后，你的所有欲言又止和犹豫不决，都被理解。
【爱情语句】	 ?孤独的人站在最热闹的地方，冷眼看那些自以为快乐的人。
【爱情语句】	 ?如果曾经因为一个人的一句话冷到四体百骸，总有一天会因为另一个人的一句话温暖到四肢百体。
【爱情语句】	 ?你说你从来不会主动低头，向人道歉。我默默地笑了。在遇见你之前，我何尝不是如此。
【爱情语句】	 ?我会学会慢慢习惯自己一个人，因为我知道，总有一天，那些我爱的和爱我的都会离开。
【爱情语句】	 ?我捂着流血的心陪你笑，你擦着流泪的眼睛说没事，我们都骗了对方，很公平呢。
【爱情语句】	 ?藏在心里的话并不是故意要隐瞒，只是并不是所有的疼痛都可以呐喊。
【爱情语句】	 ?车站有两个地方最感人：一个入口，一个出口。一个是不想让你走，一个是等你回来。
【爱情语句】	 我想遇见一个人，能让我每天都对你说我想你。
【爱情语句】	 ?等待着一个透着温情的微笑，你不来，我不老。
【爱情语句】	 ?爱你春光明媚的人可以有很多人，爱你风卷残荷的，一人足矣。
【爱情语句】	 ?临水照花人，曾经花不如人，如今人不如花。
【爱情语句】	 ?满目青山空念远，不如惜取眼前人。
【爱情语句】	 ?我们给过彼此的那些眼泪和疼痛，如风飘远。
【爱情语句】	 ?那一世，刹那芳华，湮了浮夸;这一世，泪如雨下，没了繁华。
【爱情语句】	 ?众里寻他千百度，蓦然回首，那人却在，灯火阑珊处。
【爱情语句】	 ?谢谢你曾经美丽地出现，丰富我年少单纯生命。
【爱情语句】	 ?我不是刻意悲伤。人却又如何在消逝的美好面前忍住眼泪。
【爱情语句】	 ?锁上我的记忆，锁上我的忧伤，不再想你，怎么可能再想你，快乐是禁地，生死之后，找不到进去的钥匙。
【爱情语句】	 ?一张冷漠的面孔穿梭在人群中，无喜，无怒，无哀，无乐，原谅我是这样的人，你不懂我，我不怪你。
【爱情语句】	 ?轻轻柔柔的音乐陪伴我轻轻走进记忆深处。思念，缠缠绵绵，记忆，深深浅浅浅。
【爱情语句】	 ?遇见是两个人的事，离开却是一个人的决定，遇见是一个开始，离开却是为了遇见下一个离开。这是一个流行离开的世界，但是我们都不擅长告别。
【爱情语句】	 ?真心喜欢过的人没法做朋友，哪怕再多看几眼，都还是想拥有。我从未放弃过爱你，只是从浓烈变得悄无声息。
【爱情语句】	 ?对生命而言，接纳才是最好的温柔，无论是接纳一个人的出现，就那一个人的从此不见。
【爱情语句】	 ?你已经是个大人了，别再因为一点感情问题就失魂落魄，你可以有一段糟糕的爱情，但不能放纵自己过一个烂透的人生。
【爱情语句】	 ?原来分手就是，这个人跟你再也没有关系，千秋万代，四海八荒，都只有你我，再无我们。
【爱情语句】	 ?如果有人伤害了你，请一如既往的善良美好，好好享受生活享受爱情，就像没受过伤一样。终有一天那个人会后悔错过你。这才是最大的报复。
【爱情语句】	 ?爱情最折磨的不是别离，而是感动的回忆，你站在原地还以为回得去。
【爱情语句】	 ?曾经有一分真挚的爱情，放在我面前，我没有珍惜，等我失去的时候，我才后悔莫及，人世间最痛苦的事莫过于此。
【爱情语句】	 ?大概因为再多的喜欢，也换不来未来。分开以后，未来有一万种可能性，只是这个可能性里，再也没你。
【爱情语句】	 ?这么多年，你一直在我心口幽居，我放下过天地，却从未放下过你。
【爱情语句】	 ?我知道，忘记是件轻松的事情，只要不看着，不想着，不记着，就忘记了，就像，烟火过后的天。
【爱情语句】	 ?想要让自己发光，不用依附于别人的光芒，而是让自己的灵魂变得有深度和无可替代。
【爱情语句】	 ?别总是来日方长，这世上回首之间的都是人走茶凉，他的嘴终会吻上别人的唇，把给过你的。没给过你的全给另外一个人。
【爱情语句】	 ?分手后不可以做朋友，因为彼此伤害过，不可以做敌人，因为彼此深爱过，所以，我们变成了最熟悉的陌生人。
【爱情语句】	 ?想去一个安静的城市一个没人认识我的城市。
【爱情语句】	 ?如果此刻的你正遭受了失恋的痛楚，请不要伤心，俗话说失恋不失志，只要重头再来，相信一切都会好的，失恋并不可怕，可怕的是你抓着回忆不放。
【爱情语句】	 ?有些事，我假装不知道，知道了，只会让自己更加心痛。
【爱情语句】	 ?我以为喜欢是一件很了不起的事，能翻山越岭、上天入地，后来我才明白，它连让你开心都做不到。
【爱情语句】	 ?原来分手就是，这个人跟你再也没有关系，千秋万代，四海八荒，都只有你我，再无我们。
【爱情语句】	 ?即使我们已经再也不见面，不说话，不打扰对方的生活，但我心里一直留着一个位置，悄悄地放着你。
【爱情语句】	 ?往往深情的往往无心，无心闯入你，无心留踪迹，直到故事啊走到来不及，我拥着一段叫遗憾的过去。
【爱情语句】	 ?曾经的梦碎了一地，捡起，努力拼凑，而后又碎，再捡起，拼凑，直到有一天再也拼凑不来。
【爱情语句】	 ?我们都期待一个理想的世界，在那里，我们没有痛苦，没有压力，平等和谐。
【爱情语句】	 ?人生总会遇到一些挫折，那些失去的只是人生的一部分，那也是必须经历的，所以大可不必过于伤心，你的人生还有很多值得拥有的。
【爱情语句】	 ?花开记春，花落记秋，早已忘却岁月悠悠。曲终人散，花亦垂首，空留旧人昔日颜容。
【爱情语句】	 明明你都已经离开了这个城市。却还在期待着你能回来。
【爱情语句】	 时间太长我怕等不到你，距离太远我怕追不上你，爱情太沉我怕放不下你。
【爱情语句】	 不要太轻易去相信谁的话，有的人比你想象中的还要渣。
【爱情语句】	 ?希望你一生没有软肋，不像我，别人提到你，我就输了。
【爱情语句】	 当我流着泪和你说再见，你只是冷漠的向我告别，不敢看你的冷漠的眼，心已碎成千片。
【爱情语句】	 ?我想学会干净的语言和安静的笑跟着风走把孤独当自由。
【爱情语句】	 ?此生能够遇上你，是上苍对我最大的赐福。我会好好珍惜这份缘。
【爱情语句】	 ?别以为上帝抛弃了你，那是因为上帝根本没空搭理你。
【爱情语句】	 ?到头来，你还是没有给我任何爱给我。令我无奈的你，是多么的铁石心肠。
【爱情语句】	 ?原来有时候真的会贪心奢望，时光能在美好的时刻永远停留
【爱情语句】	 ?再也没有解释的欲望，再也不想为自己辩解什么，免得你觉得可笑，我觉得难堪。
【爱情语句】	 ?原以为你冷漠寡言，却看你眉眼带笑，对她温柔如水。
【爱情语句】	" ?每次把自己想要交给你的时候,你总给了我希望又给了我失望"
【爱情语句】	 ?老地方依旧安然无恙依旧人来人往像从前一样。
【爱情语句】	 ?你对我诉说着他的千般不好，转身却又投入他的怀抱。
【爱情语句】	 ?说不求回报那只是客套所有的付出都渴望被回报。
【爱情语句】	 ?我连自己都不信任，怎么可能信任别人。一个不信任自己的人，怎么能得到别人的信任。
【爱情语句】	 ?我想知道这些仓皇南飞的大雁究竟带走了谁的思念。
【爱情语句】	 ?结局我早已猜到，但是我还是没有停下爱你?A脚步。
【爱情语句】	 ?何必拿谎言去欺骗一个痴了心的人。
【爱情语句】	 ?那一年，我们承诺一起一辈子;这一年，我们形同陌路不再联系。
【爱情语句】	 ?最伤感的莫过于，你以为找到一个可以保护你的人，可是后来的大风大浪都是他给的。
【爱情语句】	 ?在你之后来过的每一个人，我都不敢抱太多的期望，这是阴影，也是教训。
【爱情语句】	 ?为了爱，我流了太多的眼泪，为了你，我付出了太多的真心，如今我累了，想放开了。
【爱情语句】	 ?当眼泪要流出来的时候 ，不要眨眼 ，你会看清世界由清楚变模糊的全过程。
【爱情语句】	 ?用微笑装作不在意你的嘲笑，不关心你的离去。
【爱情语句】	 ?如果你要离开请断了这根牵连的线我会把手放开。
【爱情语句】	 ?最令人难过的是，我用整个青春和最好的爱，教会了他如何去爱另一个人。
【爱情语句】	 ?该给的我都给了，我都舍得，除了让你知道我心如刀割。
【爱情语句】	 ?没有大笑的一天，等于浪费了一天
【爱情语句】	 ?你把我的心上了锁，却忘了把钥匙给我。
【爱情语句】	 ?无条件相信自己喜欢的人，最后得知被欺骗的那瞬间，糟糕透了。
【爱情语句】	 ?于我而言，酒前酒后无异，只是借助酒精我能欺骗自己，那些悲伤是在梦里!
【爱情语句】	 ?我没多难过，只是少了你我真的不快乐
【爱情语句】	 ?不要害怕路遥远，不去前进怎么能去到终点
【爱情语句】	 ?孤单并不可怕，可怕的是为孤单去将就
【爱情语句】	 ?失去的已经失去，曾经也只是曾经。
【爱情语句】	 ?看见月球千疮百孔的真面目，终于明白了月亮代表我的心
【爱情语句】	 ?人总是这样，终于到了懂得珍惜的年纪，却偏偏什么都走散了。
【爱情语句】	 ?我看着你，你却没看见我，你心里有我么?
【爱情语句】	 ?没有人真正可以对另一个人的伤痛感同身受。
【爱情语句】	 ?你是我不敢饮的酒不敢吹的风。
【爱情语句】	 ?冷漠不是故意的，只是一种避免被伤害的工具。
【爱情语句】	 ?回忆是件很累的事情，就像失眠怎么躺都不对。
【爱情语句】	 ?从来就没有人对我说过：别装了，你并不快乐。
【爱情语句】	 ?回想越多的回忆，只会带领自己走向痛楚的最深处……
【爱情语句】	 ?再难过，都要试着微笑，这样说不定就不难过了
【爱情语句】	 ?红尘世间万般皆苦，你再不是我的救赎。
【爱情语句】	 ?他说爱你的时候，是无心之过，别轻易感动
【爱情语句】	 ?多希望我们只是争吵还能道歉还能和好。
【爱情语句】	 ?我想你，这是一个对我来说，烂熟于心的话语。
【爱情语句】	 ?后来我遇见的人都比你好，可你离开时带走了，我奋不顾身的勇气。
【爱情语句】	 ?你是我眼都不眨就可以说喜欢的人，我却是你头都不抬就可以放手的人。
【爱情语句】	 ?心好累，我不想再去拼命的爱你了。
【爱情语句】	 ?真相会让我们痛一阵，但谎言令我们痛一生。
【爱情语句】	 ?我以为我够坚强，却输得那么绝望。
【爱情语句】	 ?我不会再要你给的拥抱，没有你，我照样可以活得好好
【爱情语句】	 ?不是每句对不起，都能换来没关系。
【爱情语句】	 ?是否你也像我一样用言不由衷的话语逼走最爱的人然后独自心痛。
【爱情语句】	 ?听见的声音，再也忘不了哭泣的模样
【爱情语句】	 ?后来砸碎了酒瓶也没换来清醒，弄脏了自己也没换来爱情
【爱情语句】	 ?比失去你更令我伤心的是，你都没有为了跟我在一起而努力过。
【爱情语句】	 ?时间不停流逝，最后的情感早已化作灰飞
【爱情语句】	 每一次分手就是前世，每一次恋爱都是今生。
【爱情语句】	 ?有些人看起来整天面带笑容，并不是因为他们事事顺利，只是他们比你敢于面对问题、善于遗忘不幸、勇于拥抱欣喜。
【爱情语句】	 ?没有错过，又怎么可能在看过世界后再次相遇。没有悔恨，又哪来的回忆。没有不如意，又拿什么来谈论人生。
【爱情语句】	" ?在梦境和爱情里,没有事情是不可能的。"
【爱情语句】	 ?每个你认为幸福的回忆，其实都带着伤。
【爱情语句】	 ?我要多努力才能成为你深爱离不开的人。
【爱情语句】	 ?希望你来去如风，没有顾虑重重。
【爱情语句】	 我的故事不动人，只是那个少年惊艳了我的青春。
【爱情语句】	 从来都不曾懂我，在我说我很好的时候看不出我眼里的落寞了。
【爱情语句】	 ?喜欢一个人的感觉，大概就是听别人讨论爱情，我只想起你。
【爱情语句】	 我慢热也不爱凑热闹，如果我对你热情说明你很重要。
【爱情语句】	 ?每天早晨醒来，阳光和你都在。这就是我想要的未来。
【爱情语句】	 我真的很花心，喜欢每一天的你和每一个的你。
【爱情语句】	 轻轻的，一缕春风拂过面颊，激起一丝涟漪。悠悠的，带来了你的气息，在回忆里，甜甜的。
【爱情语句】	 ?我想触动你的心，就像你触动了我的心那样。
【爱情语句】	 ?我们慢慢慢慢，离开了一切可以在深夜里打个电话聊聊的人。
【爱情语句】	 ?你在我心中永远是最有气质最特别和最具吸引力的。
【爱情语句】	 ?我想去看你然后拥抱你。
【爱情语句】	 最美好的事是，人潮拥挤，你自然而然牵紧我的手。
【爱情语句】	 永远有多远，嘴到嘴的距离，爱情到面包的路程，山盟海誓到泪水的过程，到了，一堆草木。
【爱情语句】	 在那温柔的回头后，停留，在花开过的夏天。永恒，在夏天开过的花。
【爱情语句】	 阴郁后也开始放晴的天空，丢掉外套，任风吹也吹不走的笑容，第二天都是熟悉的面孔，夜晚更稠，白天还会更长久，流水未回头，挥挥手，就看它载着自由一直往东游。
【爱情语句】	 不慌不忙的跟往常一样入眠，一颗心，忐忑如你。怕错过有你的梦。
【爱情语句】	 我特别喜欢你像，夏日微风起，雨落花木湿，早起鸟鸣啼，晚入月光依，心有佳人在，最终仍是你。
【爱情语句】	 如果你是带刺的玫瑰，我也荆刺中守护你。哪怕是受伤我也执着爱你。
【爱情语句】	 ?多少人为了另一半，由胖变瘦，由爱变恨，由单纯变堕落。
【爱情语句】	 ?起先我认为离开的是风可后来才发现逃走的是你。
【爱情语句】	 ?你在没有我的地方幸福的生活，我在没有你的地方独自伤心流泪。
【爱情语句】	 ?又不是没被抛弃过，嫌弃过，厌恶过，唾骂过，离别过，所有的都承受过来了，我害怕什么。
【爱情语句】	 ?谁都会有一段不懂事的过去，谁都会有一段流泪的爱情。
【爱情语句】	 ?伤了心，忘了情，拼了命，也不能挽回那破碎的曾经。
【爱情语句】	 ?最浪漫的事就是刚好遇到你，而恰巧我又够勇气表白。
【爱情语句】	 ?世界上真的没有什么是永远。一段友情，离开了就淡了。一段爱情，分离了就散了。
【爱情语句】	 ?为了你，我放下了我的骄傲，放下了一切一切，却落得一身伤。
【爱情语句】	 ?有一些东西错过了，就一辈子错过了。人是会变的，守住一个不变的承诺，却守不住一颗善变的心……
【爱情语句】	 ?多么虚假的一切，我对你来说只是曾经的替代。
【爱情语句】	 ?这世间没有卑微的爱情，貌似卑微不过是因爱你太多罢了，在最终化为无言，没有成全、没有怨恨、也没有祝福，只有一抹凄凉的眼神，在风中飘散。
【爱情语句】	 ?有些人会一直刻在记忆里，即使忘记了他的声音，忘记了他的笑容，忘记了他的脸，但是每当想起他时的那种感受，是永远都不会改变的。
【爱情语句】	 ?曾几何时我以为我找到了我要的幸福，可是当我毫无保留的付出后，才发现原来一直都是我的一厢情愿。
【爱情语句】	 ?有时候为一个人倾尽一切，却比不过别人什么都不做。
【爱情语句】	 ?世界上最心痛的感觉，不是失恋，而是我把心给你的时候，你却在欺骗我。
【爱情语句】	 ?不停的告诫自己，从此要将你忘记，不再想起这些心痛的事。不停的告诉自己，从此要将你拒绝，可所有与你有关的事物我还是忘不掉。
【爱情语句】	 ?原来都遗忘了我们曾经的美好，现在的痛苦却那么的深刻。
【爱情语句】	 ?你等一个人就是拿时间去赌，然后输得一塌糊涂。
【爱情语句】	 ?我们最深的默契便是互不搭理。
【爱情语句】	 ?爱又怎样，恨又怎样，还不是一念之间，哭又怎样，笑又怎样，还不是一个表情。
【爱情语句】	 ?不联系，是因为你的冷淡告诉我打扰到你了;不主动，是因为根本打动不了你。
【爱情语句】	 ?独自承受着所有，却始终不愿意轻易走出来。
【爱情语句】	 ?街角那一幕上演的爱情，让我如此的心痛不已。
【爱情语句】	 ?最厌烦的感觉不是成为陌生人，而是逐渐陌生的态度。
【爱情语句】	 ?没有人规定，没有翅膀就不可以留恋着天空。
【爱情语句】	 ?若无其事，原来是最好的报复。何必向不值得的人证明什么，生活得更好，是为了自己。
【爱情语句】	 ?多希望和你一个不小心就白头到老了，哪怕一路再多的荆棘曲折，只求结局是你就好。
【爱情语句】	 ?我只有点烟时才会低头，求婚时才会跪下，接吻时才会闭眼，睡觉时才会倒下，对心爱的女孩才会温柔。
【爱情语句】	 ?江湖路远，余生太长，但有了你，我突然开始热爱江湖，期盼余生。
【爱情语句】	 ?我想和你在一起，哪怕前方满地荆棘，哪怕万人阻挡，哪怕白发苍苍。
【爱情语句】	 ?我这样不善言辞的人，却总是想和你废话连篇。
【爱情语句】	 ?你是我在劫难逃的噩梦，你是我患得患失的爱人，你是我彻夜难眠的想念。
【爱情语句】	 ?只愿多年后，我白发苍苍，容颜迟暮，你仍牵我双手，倾世温柔。
【爱情语句】	 ?我没有备胎，也不玩暧昧，我所有的眼泪和笑容，温柔和任， 好脾气孩子气都给了你，愿你珍惜。
【爱情语句】	 ?就算世界荒芜，总有一个人，他会是你的信徒。
【爱情语句】	 ?我不要短暂的温柔，只要你一世的陪伴。
【爱情语句】	 ?希望有一天，我可以不用对着手机屏幕和你说晚安，你就在我身边。
【爱情语句】	 ?我想写一个故事，以”我“开始，以”我们“结束。
【爱情语句】	 ?心中万点涟漪，都是为你而动。眼中万里柔情，皆是为你而起。
【爱情语句】	 ?世界这么大，而我真正想落脚的地方，是你的身旁。
【爱情语句】	 ?我希望我跟你的名字能写在一起，不管是在婚礼的喜帖上，还是在葬礼的墓碑上。
【爱情语句】	 ?遇见你，是我一生的幸运，喜欢你，是我做过最好的事。
【爱情语句】	 ?你身上的味道最好闻，你笑起来的样子最好看，你陪着我的时候，我从没羡慕过任何人，想陪你走完这一生。
【爱情语句】	 ?我查了余生的黄历，除了爱你诸事不宜。
【爱情语句】	 ?我喜欢这个季节，因为绿意成海，日光温暖，更因为万物美好，你在中央。
【爱情语句】	 ?对你的喜欢，就像一杯水，热的变凉，凉的再变热，反复无常，始终不愿浪费。
【爱情语句】	 ?你别难过，风筝有风，海豚有海，你还有我。
【爱情语句】	 ?何以解忧，唯有暴富，何以暴富，唯有爱我!
【爱情语句】	 ?曾想过边走边爱，反正人山人海。后来无力地发现，我没办法边走边爱，你一人挡住了人山人海。
【爱情语句】	 ?你让世上所有情话都若有所指，你让我散落天涯的碎片都重新归集。
【爱情语句】	 ?幸福，就是当激情退去、容颜衰老，牵你的还是那双不怨悔的手;陪你的还是那颗不回头的心;暖你的还是那份不冷却的情。
【爱情语句】	 ?安全感就是，我心甘情愿地全心信任你，同时你毫无保留忠诚地珍惜我的信任。
【爱情语句】	 ?最美的相遇，不言过往;最好的离别，不问归期。所有的道别里，我最喜欢：明天见。所有的祝福中，我最偏爱：如你愿。
【爱情语句】	 ?你在我身边也好，在天边也罢，想到世界的角落有一个你，觉得整个世界也变得温柔安定了。
【爱情语句】	 ?你是最好的，如果真的有比你还要好的人，我就装作没看见。
【爱情语句】	 ?我喜欢三月的风，六月的雨，不落的太阳，和最好的你。
【爱情语句】	 ?就让我笨拙地喜欢你，从须臾到不朽，从一叶到知秋，然后，骑一匹白马，到人海里安家。
【爱情语句】	 时间过得太快让我来不及思考，时间过得太快让我来不及反应，时间过得太快让我来不及和你一起慢慢变老。
【爱情语句】	 ?愿未来所有的好时光都有你相伴，愿情话终有主，你我不再孤独。
【爱情语句】	 ?如果没有你我想我会断电。
【爱情语句】	 ?我余生最大的梦想就是，把苦的日子熬成甜甜的糖，把我爱的人永远留在我身旁。
【爱情语句】	 因为是你，所以天南海北都顺路，酸甜苦辣都爱吃。
【爱情语句】	 ?相遇是春风十里，原来是你。相爱是山长水阔，最后是你。
【爱情语句】	 ?世界那么大，而我真正想落脚的地方，是你的身旁。
【爱情语句】	 ?长路漫漫，我已不再孤单。
【爱情语句】	 ?春花，秋月，夏日清风，冬日暮雪，这些都很美，但唯有你的心里，才是我最想去的四季。
【爱情语句】	 ?没遇见你之前，我随遇而安，遇见你之后，我以你为安。
【爱情语句】	 ?青山不及你眉长，水清不似你目澈，跨过山水几场雨，我一生只一个你。
【爱情语句】	 ?余生有你，一世欢喜。
【爱情语句】	 ?很想和你拥有一个很长很长的未来，很想和你得到所有人的祝福，很想陪你走完你的一生，彼此温暖，互不辜负。
【爱情语句】	 ?我能给你的不多，容我先打个欠条，利息是余生可好。
【爱情语句】	 ?你负责貌美如花，我负责赚钱养家。
【爱情语句】	 ?我若在你心上，斯冥战马有怎样。你若在我心上，情敌三千又何妨。
【爱情语句】	 ?希望你遇到一个人，他看你时眼神温柔，陪你做很多事，说很多话，走很多路，做你永远的超人。
【爱情语句】	 ?回首所有的怦然心动，你依然拔得头筹。
【爱情语句】	 ?感情的事儿，可以敢作敢当，但真的无法轻拿轻放。
【爱情语句】	 ?对你最好的那个人，换句话说，也就是最好欺负的人。天下间的女人，总是最会欺负对她最好的那个男人。
【爱情语句】	 ?你是例外，也再无例外。
【爱情语句】	 ?最好的婚姻不是你负责养家，我负责貌美如花，而是我们势均力敌，你很好，我也不差。
【爱情语句】	 ?我并不需要什么轰烈的爱情，我只要你能牵我手，从年少到年老，从心动到古稀，给我倾世温柔，我必将陪你到白头。
【爱情语句】	 ?真正的爱情，不是一时好感，而是明知道没有结果，还是有坚持下去的冲动。因为我知道，遇见你不容易，错过了会遗憾。
【爱情语句】	 ?不属于我的东西，我不要。不是真心给我的东西，我不稀罕。
【爱情语句】	 ?我并不需要什么轰烈的爱情，我只要你能牵我手，从年少到年老，从心动到古稀，给我倾世温柔，我必将陪你到白头。
【爱情语句】	 ?真正的爱情，不是一时好感，而是明知道没有结果，还是有坚持下去的冲动。因为我知道，遇见你不容易，错过了会遗憾。
【爱情语句】	 ?不属于我的东西，我不要。不是真心给我的东西，我不稀罕。
【爱情语句】	 ?对你爱的太深，已感觉不到你对我的伤害，恨过你，咒过你，可我还是想念你。
